,playerID,year,score,player_seasonID,bioID,useFirst,lastName,pos,height,weight
1332,turkohe01,2007,0.0,turkohe012007,turkohe01,Hedo,Turkoglu,G-F,80.0,202.0
1333,twymaja01,1959,2.0,twymaja011959,twymaja01,Jack,Twyman,F-G,78.0,210.0
1334,twymaja01,1961,2.0,twymaja011961,twymaja01,Jack,Twyman,F-G,78.0,210.0
1335,unselwe01,1968,8.0,unselwe011968,unselwe01,Wes,Unseld,C-F,79.0,245.0
1336,unselwe01,1977,3.0,unselwe011977,unselwe01,Wes,Unseld,C-F,79.0,245.0
1337,vanardi01,1973,1.0,vanardi011973,vanardi01,Dick,Van Arsdale,G-F,76.5,202.0
1338,vanlino01,1970,1.0,vanlino011970,vanlino01,Norm,Van Lier,G,73.0,173.0
1339,vanlino01,1971,1.0,vanlino011971,vanlino01,Norm,Van Lier,G,73.0,173.0
1340,vanlino01,1972,1.0,vanlino011972,vanlino01,Norm,Van Lier,G,73.0,173.0
1341,vanlino01,1973,4.0,vanlino011973,vanlino01,Norm,Van Lier,G,73.0,173.0
1342,vanlino01,1974,1.0,vanlino011974,vanlino01,Norm,Van Lier,G,73.0,173.0
1343,vanlino01,1975,2.0,vanlino011975,vanlino01,Norm,Van Lier,G,73.0,173.0
1344,vanlino01,1976,2.0,vanlino011976,vanlino01,Norm,Van Lier,G,73.0,173.0
1345,vanlino01,1977,1.0,vanlino011977,vanlino01,Norm,Van Lier,G,73.0,173.0
1346,varejan01,2009,1.0,varejan012009,varejan01,Anderson,Varejao,F,82.0,230.0
1347,vergabo01,1969,0.0,vergabo011969,vergabo01,Bob,Verga,G,72.0,180.0
1348,vraneda01,1984,1.0,vraneda011984,vraneda01,Danny,Vranes,F,79.0,210.0
1349,wadedw01,2004,3.0,wadedw012004,wadedw01,Dwyane,Wade,G,76.0,210.0
1350,wadedw01,2005,5.0,wadedw012005,wadedw01,Dwyane,Wade,G,76.0,210.0
1351,wadedw01,2006,1.0,wadedw012006,wadedw01,Dwyane,Wade,G,76.0,210.0
1352,wadedw01,2008,4.0,wadedw012008,wadedw01,Dwyane,Wade,G,76.0,210.0
1353,wadedw01,2009,4.0,wadedw012009,wadedw01,Dwyane,Wade,G,76.0,210.0
1354,wadedw01,2010,2.0,wadedw012010,wadedw01,Dwyane,Wade,G,76.0,210.0
1355,wadedw01,2011,1.0,wadedw012011,wadedw01,Dwyane,Wade,G,76.0,210.0
1356,wadedw01,2012,1.0,wadedw012012,wadedw01,Dwyane,Wade,G,76.0,210.0
1357,walkeke02,2018,1.0,walkeke022018,walkeke02,Kemba,Walker,G,77.0,205.0
1358,wallabe01,2001,6.0,wallabe012001,wallabe01,Ben,Wallace,F,81.0,240.0
1359,wallabe01,2002,7.0,wallabe012002,wallabe01,Ben,Wallace,F,81.0,240.0
1360,wallabe01,2003,4.0,wallabe012003,wallabe01,Ben,Wallace,F,81.0,240.0
1361,wallabe01,2004,6.0,wallabe012004,wallabe01,Ben,Wallace,F,81.0,240.0
1362,wallabe01,2005,7.0,wallabe012005,wallabe01,Ben,Wallace,F,81.0,240.0
1363,wallabe01,2006,1.0,wallabe012006,wallabe01,Ben,Wallace,F,81.0,240.0
1364,wallage01,2009,2.0,wallage012009,wallage01,Gerald,Wallace,F,79.0,215.0
1365,walljo01,2010,0.0,walljo012010,walljo01,John,Wall,G,76.0,195.0
1366,walljo01,2014,1.0,walljo012014,walljo01,John,Wall,G,76.0,195.0
1367,walljo01,2016,1.0,walljo012016,walljo01,John,Wall,G,76.0,195.0
1368,waltobi01,1976,7.0,waltobi011976,waltobi01,Bill,Walton,C-F,83.0,210.0
1369,waltobi01,1977,10.0,waltobi011977,waltobi01,Bill,Walton,C-F,83.0,210.0
1370,waltobi01,1985,0.0,waltobi011985,waltobi01,Bill,Walton,C-F,83.0,210.0
1371,wanzebo01,1951,2.0,wanzebo011951,wanzebo01,Bobby,Wanzer,G,72.0,170.0
1372,wanzebo01,1952,2.0,wanzebo011952,wanzebo01,Bobby,Wanzer,G,72.0,170.0
1373,wanzebo01,1953,2.0,wanzebo011953,wanzebo01,Bobby,Wanzer,G,72.0,170.0
1374,washike01,1979,1.0,washike011979,washike01,Kermit,Washington,F-C,80.0,230.0
1375,washike01,1980,1.0,washike011980,washike01,Kermit,Washington,F-C,80.0,230.0
1376,wattssl01,1975,2.0,wattssl011975,wattssl01,Slick,Watts,G,73.0,175.0
1377,webbech01,1993,0.0,webbech011993,webbech01,Chris,Webber,F-C,81.0,245.0
1378,webbech01,1998,2.0,webbech011998,webbech01,Chris,Webber,F-C,81.0,245.0
1379,webbech01,1999,1.0,webbech011999,webbech01,Chris,Webber,F-C,81.0,245.0
1380,webbech01,2000,3.0,webbech012000,webbech01,Chris,Webber,F-C,81.0,245.0
1381,webbech01,2001,2.0,webbech012001,webbech01,Chris,Webber,F-C,81.0,245.0
